"model_name","reps","nlevels","propagule_mean.mass","propagule_num","mean/meanlog/shape_mean","sd/sdlog/rate/scale_mean","mean/meanlog/shape_se","sd/sdlog/rate/scale_se","out_chiq","out_chiqpvalue","out_cvm","out_cvmtest","out_ks","out_kestest","out_aic","out_bic"
"lnorm","1","60","63.3934426229508","61","3.90295147701964","0.714256818524689","0.0914512145175215","0.0646652035323709","6.22791073793719","0.398149835675116","0.0838511609602558","not computed","0.0934019084717506","not rejected","612.216032883764","616.43778061211"
"weibull","1","60","63.3934426229508","61","1.51587032837735","70.820727928004","0.148425080999569","6.33961595763062","12.1752408195529","0.058171651552151","0.18467157880483","rejected","0.119168593524218","not rejected","617.444878345793","621.666626074139"
"norm","1","60","63.3934426229508","61","63.3934426229508","44.502819468067","5.69800426896396","4.02909652832721","32.8074012955168","1.14195244588301e-05","0.490737604460306","not computed","0.1766320841115","rejected","640.167911662735","644.389659391082"
"gamma","2","10","68.5","30","1.33709927332838","0.019524985570219","0.310328618409186","0.00545979048834772","8.03371685755674","0.0903508818173581","0.189655304399298","rejected","0.206326734884696","not rejected","316.172123033765","318.974517797089"
"lnorm","2","10","68.5","30","3.80841840570608","0.929207223136758","0.169649252245091","0.119959511470803","5.92167293694172","0.205074646655032","0.1581189340768","not computed","0.16477503251612","not rejected","313.236006057715","316.03840082104"
"weibull","2","10","68.5","30","1.14657355078188","72.2259727133523","0.160597599806914","12.1965547185507","8.09112977361445","0.0882964593943788","0.170746416382643","rejected","0.198749888711448","not rejected","316.717777054109","319.520171817433"
"norm","2","10","68.5","30","68.5","62.1094464098122","11.3395811977701","8.01829659225652","26.009866741277","3.14999777186078e-05","0.326861152609799","not computed","0.249527236868159","rejected","336.87019760054","339.672592363864"
"gamma","2","20","62","22","1.88707617120215","0.0304410998773398","0.52519989906634","0.00968463840454908","1.99529078583194","0.368746673304481","0.0683547048484402","not rejected","0.126042103780882","not computed","225.212279965502","227.394364872219"
"lnorm","2","20","62","22","3.83942678096631","0.925555144734825","0.197329019867084","0.139531955116518","3.29103885892242","0.192912332415822","0.129052655720033","not computed","0.177169459884379","not computed","231.964164962577","234.146249869294"
"weibull","2","20","62","22","1.58691283959349","68.6588472040148","0.275620717241716","9.65964635285608","1.82429850604623","0.401660026650338","0.0500398646940201","not rejected","0.125391585487559","not computed","223.821678162317","226.003763069034"
"norm","2","20","62","22","62","38.0083722834373","8.10341113790021","5.72997763472486","1.73376032036448","0.420260652006315","0.0514384970753814","not computed","0.146403124608749","not computed","226.496779644119","228.678864550836"
