"seed","parent_i","parent_M0","parent_r","parent_N","parent_K","parent_time","parent_tmass","propagule_ID","propagule_num","propagule_mean.mass","propagule.indiv.mass"
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,45,71,50.66180969236784,42.770872926519765
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,46,71,50.66180969236784,21.471558832022343
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,47,71,50.66180969236784,147.727090909189
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,48,71,50.66180969236784,47.555528426500736
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,49,71,50.66180969236784,26.018755050925467
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,50,71,50.66180969236784,29.17386637979248
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,51,71,50.66180969236784,47.51894168550937
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,52,71,50.66180969236784,15.586052240220056
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,53,71,50.66180969236784,51.327280624218815
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,54,71,50.66180969236784,74.47056152554288
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,55,71,50.66180969236784,115.77560798393525
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,56,71,50.66180969236784,105.14866800020955
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,57,71,50.66180969236784,64.73363824900042
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,58,71,50.66180969236784,43.758728814781364
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,59,71,50.66180969236784,31.64358064114613
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,60,71,50.66180969236784,54.496711402750876
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,61,71,50.66180969236784,11.042402529346676
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,62,71,50.66180969236784,67.62250928756326
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,63,71,50.66180969236784,49.281732465221125
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,64,71,50.66180969236784,62.77074828422242
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,65,71,50.66180969236784,32.54552971498629
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,66,71,50.66180969236784,72.51851410374965
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,67,71,50.66180969236784,47.43207856650554
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,68,71,50.66180969236784,23.31353541122759
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,69,71,50.66180969236784,110.36927949097415
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,70,71,50.66180969236784,14.38325372805114
1,1,22.08,0.103,10,4161.816,75,3843.5560954613347,71,71,50.66180969236784,61.97797358739842
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,1,93,58.03916889535017,21.764429065373815
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,2,93,58.03916889535017,69.82299586927253
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,3,93,58.03916889535017,71.43215923591394
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,4,93,58.03916889535017,55.42863130136894
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,5,93,58.03916889535017,16.49580075032782
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,6,93,58.03916889535017,19.336039093282555
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,7,93,58.03916889535017,64.6964332607224
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,8,93,58.03916889535017,27.550766112869063
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,9,93,58.03916889535017,8.394284353321623
1,2,22.08,0.103,20,6358.236,75,5643.054657246027,10,93,58.03916889535017,59.769271419522774
